domain,cohort,window,client_key,named,depth,has_number,metric_kinds,bucket_industry,bucket_craft,bucket_job,bucket_channel,bucket_model,bucket_stage,bucket_geo
dentsu.com,control,after,footlocker,Y,logo-only,N,,,,,,,,
dentsu.com,control,after,morethanthatwithgiapeppers,Y,logo-only,N,,,,,,,,
dentsu.com,control,after,dentsucreativechinakfcrestore,Y,logo-only,N,,,,,,,,
dentsu.com,control,after,caratdiageo,Y,logo-only,N,,,,,,,,
dentsu.com,control,after,dentsuxnonamecasestudy,Y,logo-only,N,,,,,,,,
dentsucreative.amsterdam,control,after,zeromalaria,Y,summary-tile,N,,,Campagnes & creatieve concepten,,,,,Internationaal / wereldwijd
dentsucreative.amsterdam,control,after,adobe,Y,summary-tile,N,,,Strategie & advies,,Apps & custom platforms,,,
dentsucreative.amsterdam,control,after,gls,Y,summary-tile,N,,"Transport, logistics & automotive",Branding & huisstijl,,,,Groot / corporate / marktleider,Internationaal / wereldwijd
dentsucreative.amsterdam,control,after,crisp,Y,summary-tile,N,,Retail & e-commerce (general consumer goods),unknown,,,SaaS & software,,
dentsucreative.amsterdam,control,after,propel,Y,summary-tile,N,,Manufacturing & industrial,unknown,,,,,
dentsucreative.amsterdam,control,after,lumion,Y,summary-tile,N,,"Construction, real estate & housing","Video, animatie & fotografie",,,,,
dentsucreative.amsterdam,control,after,kpn,Y,summary-tile,N,,,Content & copywriting,,Social media organisch,,,unknown
dentsucreative.amsterdam,control,after,karwei,Y,summary-tile,N,,,Social media content & beheer,,Social media organisch,,,
deptagency.com,control,before,vangogh,Y,summary-tile,N,,"Media, culture & entertainment",Apps & maatwerk platforms,,,,,
deptagency.com,control,before,brenntag,Y,summary-tile,N,,unknown,unknown,,,Zakelijke afnemers (B2B),Groot / corporate / marktleider,
deptagency.com,control,before,ganni,Y,summary-tile,N,,,Website & webdesign,,Offline media & events,,,
deptagency.com,control,before,jbl,Y,summary-tile,N,,,Campagnes & creatieve concepten,,,,,
getforward.nl,control,before,vaccinatiepunt,Y,full-case-page,Y,conversion;ad_performance,Healthcare & care,Online adverteren (paid ads),Advertenties & campagnes renderen niet,"SEA, display & overige paid advertising",,Omvang in cijfers,Regionaal (binnen Nederland)
getforward.nl,control,before,bouwma,Y,full-case-page,Y,traffic,"Construction, real estate & housing",Website & webdesign,Advertenties & campagnes renderen niet,"SEA, display & overige paid advertising",,Familiebedrijf / gevestigd met historie,Heel Nederland (landelijk)
getforward.nl,control,before,segwayveluwe,Y,full-case-page,Y,conversion,"Hospitality, tourism, sports & recreation",Online adverteren (paid ads),"Meer leads, aanvragen & verkoop","SEA, display & overige paid advertising",,Startup / jong / groeiend,Regionaal (binnen Nederland)
getforward.nl,control,before,enrise,Y,quote-testimonial,N,,,Online adverteren (paid ads),,"SEA, display & overige paid advertising",,,
getforward.nl,control,before,thermoshield,Y,quote-testimonial,N,,,,,,,,
getforward.nl,control,after,delimeal,Y,logo-only,N,,,,,,,,
getforward.nl,control,after,curveswear,Y,quote-testimonial,N,,,Webshop & e-commerce,,Webshop & e-commerceplatform,,,
getforward.nl,control,after,arassecurity,Y,logo-only,N,,,,,,,,
getforward.nl,control,after,reddingsbrigadenederland,Y,logo-only,N,,,,,,,,
getforward.nl,control,after,woonin,Y,logo-only,N,,,,,,,,
getforward.nl,control,after,bouwmabouwmachines,Y,quote-testimonial,N,,,,,,,,
getforward.nl,control,after,enrise,Y,quote-testimonial,N,,,Online adverteren (paid ads),,"SEA, display & overige paid advertising",,,
getforward.nl,control,after,thermoshield,Y,quote-testimonial,N,,,,,,,,
getforward.nl,control,after,lengersyachts,Y,quote-testimonial,N,,,,,,,,
getforward.nl,control,after,ernstbrokmeier,Y,quote-testimonial,N,,,Campagnes & creatieve concepten,,"Branding, campagne & activatie",,,
getforward.nl,control,after,annelieboersma,Y,quote-testimonial,N,,,,,,,,
getforward.nl,control,after,henniezoontjes,Y,quote-testimonial,N,,,Website & webdesign,,,,,
getforward.nl,control,after,ekelhoffkeukens,Y,quote-testimonial,N,,,Online adverteren (paid ads),,"SEA, display & overige paid advertising",,,
getforward.nl,control,after,rutgerdegroot,Y,quote-testimonial,N,,,,,,,,
getforward.nl,control,after,pieterwahlen,Y,quote-testimonial,N,,,Online adverteren (paid ads),,"SEA, display & overige paid advertising",,,
getforward.nl,control,after,dorgelovoertuigopties,Y,quote-testimonial,N,,,Online adverteren (paid ads),"Meer leads, aanvragen & verkoop","SEA, display & overige paid advertising",,,
getforward.nl,control,after,mehranmohammad,Y,quote-testimonial,N,,,,,,,,
getforward.nl,control,after,ladieswork,Y,quote-testimonial,N,,,Social media content & beheer,Naamsbekendheid & zichtbaarheid,Social media organisch,,,
gigaleads.nl,narrower,before,diamondflame,Y,full-case-page,Y,leads_inquiries;conversion,"Construction, real estate & housing",Online adverteren (paid ads),"Meer leads, aanvragen & verkoop",Social media organisch,,,unknown
gigaleads.nl,narrower,before,,N,summary-tile,Y,revenue_sales;leads_inquiries,,,,,,,
gigaleads.nl,narrower,before,,N,summary-tile,Y,leads_inquiries;conversion,,,,,,,
gigaleads.nl,narrower,before,,N,summary-tile,Y,leads_inquiries,,,,,,,
gigaleads.nl,narrower,before,wout,Y,quote-testimonial,Y,leads_inquiries,,"Outcome-verkoop (leads, omzet, groei)",,,,,
gigaleads.nl,narrower,before,lotteverhelst,Y,quote-testimonial,N,,Business & professional services,"Outcome-verkoop (leads, omzet, groei)",,,,,
gigaleads.nl,narrower,before,123zonnepaneelpakket,Y,full-case-page,Y,leads_inquiries;conversion,"Construction, real estate & housing",Content & copywriting,"Meer leads, aanvragen & verkoop",Social media organisch,Consumentenmarkt offline,,Heel Nederland (landelijk)
buro19.nl,control,before,deboervanderweijde,Y,full-case-page,N,,,Branding & huisstijl,"Merk, huisstijl & verhaal",Social media organisch,,,Regionaal (binnen Nederland)
cloudfactory.nl,control,before,epica,Y,full-case-page,N,,"Media, culture & entertainment","Video, animatie & fotografie",unknown,Social media organisch,,,
cloudfactory.nl,control,before,heineken,Y,full-case-page,N,,"Food, beverage & agriculture",Employer branding & recruitment,Personeel werven & werkgeversmerk,Social media organisch,,Omvang in cijfers,Internationaal / wereldwijd
cloudfactory.nl,control,before,heineken,Y,full-case-page,N,,,Employer branding & recruitment,Personeel werven & werkgeversmerk,,,,Internationaal / wereldwijd
cloudfactory.nl,control,before,jacobsdouweegberts,Y,full-case-page,N,,"Food, beverage & agriculture",unknown,unknown,"Content, video & PR",,,
cloudfactory.nl,control,before,kfc,Y,full-case-page,N,,"Food, beverage & agriculture","Video, animatie & fotografie",unknown,Social media organisch,unknown,,Heel Nederland (landelijk)
buro28.nl,narrower,before,toerismeveluwearnhemnijmegen,Y,full-case-page,N,,,"Grafisch ontwerp, drukwerk & print",,,,,Regionaal (binnen Nederland)
buro28.nl,narrower,before,homefood,Y,full-case-page,N,,Education & childcare,Branding & huisstijl,,,,Startup / jong / groeiend,
buro28.nl,narrower,before,huisenerfgoedcollectief,Y,full-case-page,N,,"Construction, real estate & housing",Branding & huisstijl,,,,,
buro28.nl,narrower,before,landgoeddevlaminckhorst,Y,full-case-page,N,,,"Grafisch ontwerp, drukwerk & print",,,,,Nederlandse stad of plaats
buro28.nl,narrower,before,postnl,Y,full-case-page,N,,,"Grafisch ontwerp, drukwerk & print",,,,,
fundament.nl,narrower,before,radyus,Y,full-case-page,N,,Business & professional services,Branding & huisstijl,unknown,,,,Regionaal (binnen Nederland)
fundament.nl,narrower,before,haarzichtvleuten,Y,logo-only,N,,,,,,,,
fundament.nl,narrower,before,vestingkwartierhelpermaar,Y,logo-only,N,,,,,,,,
fundament.nl,narrower,before,asr,Y,logo-only,N,,,Campagnes & creatieve concepten,,,,,
fundament.nl,narrower,before,hetnieuwbouwplatformzuyderzee,Y,logo-only,N,,,,,,,,
fundament.nl,narrower,before,blauwhoed,Y,logo-only,N,,,"Grafisch ontwerp, drukwerk & print",,,,,
fundament.nl,narrower,before,vorm,Y,logo-only,N,,,Website & webdesign,,,,,
fundament.nl,narrower,before,downtownbrokers,Y,logo-only,N,,,unknown,,,,,
fundament.nl,narrower,before,,Y,logo-only,N,,,unknown,,,,,
fundament.nl,narrower,before,tersteegebouwvastgoed,Y,logo-only,N,,,Website & webdesign,,,,,
fundament.nl,narrower,before,radyus,Y,logo-only,N,,,,,,,,
fundament.nl,narrower,before,nieuwveenselanden,Y,logo-only,N,,,,,,,,
fundament.nl,narrower,before,oostenburg,Y,logo-only,N,,,,,,,,
fundament.nl,narrower,before,woonworkshop,Y,logo-only,N,,,,,,,,
fundament.nl,narrower,before,bentwijck,Y,logo-only,N,,,unknown,,,,,
fundament.nl,narrower,after,,Y,full-case-page,N,,,Website & webdesign,Website verouderd of nieuw nodig,,,,
communicatieteam.nl,narrower,before,textaafoam,Y,full-case-page,N,,,Strategie & advies,unknown,"E-mail, CRM & marketing automation",,,Nederlandse stad of plaats
communicatieteam.nl,narrower,before,transvita,Y,full-case-page,N,,Education & childcare,Strategie & advies,Personeel werven & werkgeversmerk,Social media organisch,,,Regionaal (binnen Nederland)
communicatieteam.nl,narrower,before,hoppenbrouwerstechniek,Y,full-case-page,N,,,Campagnes & creatieve concepten,Personeel werven & werkgeversmerk,Multi-channel & omnichannel,,Startup / jong / groeiend,Regionaal (binnen Nederland)
communicatieteam.nl,narrower,before,jumbo,Y,logo-only,N,,,Employer branding & recruitment,,,,,
communicatieteam.nl,narrower,before,hak,Y,logo-only,N,,,Branding & huisstijl,,,,,
communicatieteam.nl,narrower,before,brabantzorg,Y,logo-only,N,,,Employer branding & recruitment,,,,,
communicatieteam.nl,narrower,before,laplace,Y,logo-only,N,,,Employer branding & recruitment,,,,,
communicatieteam.nl,narrower,before,jumbo,Y,logo-only,N,,,Branding & huisstijl,,,,,
communicatieteam.nl,narrower,before,jumbotechcampus,Y,summary-tile,N,,,unknown,,,,Omvang in cijfers,Nederlandse stad of plaats
communicatieteam.nl,narrower,before,hetsintjanslyceum,Y,summary-tile,N,,,Employer branding & recruitment,,,,,
communicatieteam.nl,narrower,before,odura,Y,summary-tile,N,,"Energy, utilities & environment",Branding & huisstijl,"Merk, huisstijl & verhaal",,,,
communicatieteam.nl,narrower,before,hoppenbrouwerstechniek,Y,summary-tile,N,,,,Personeel werven & werkgeversmerk,,,Startup / jong / groeiend,
communicatieteam.nl,narrower,before,gemeenteshertogenbosch,Y,summary-tile,N,,,,unknown,,,,
communicatieteam.nl,narrower,before,jumbotechcampus,Y,summary-tile,N,,,unknown,,,,,
communicatieteam.nl,narrower,before,hetsintjanslyceum,Y,summary-tile,N,,,Employer branding & recruitment,,,,,
communicatieteam.nl,narrower,before,odura,Y,summary-tile,N,,,Content & copywriting,,,,,
communicatieteam.nl,narrower,before,hoppenbrouwerstechniek,Y,summary-tile,N,,,Employer branding & recruitment,,,,,
communicatieteam.nl,narrower,before,gemeenteshertogenbosch,Y,summary-tile,N,,,,unknown,,,,
communicatieteam.nl,narrower,before,jumbo,Y,summary-tile,N,,,unknown,,,,,
communicatieteam.nl,narrower,before,laplace,Y,summary-tile,N,,,Employer branding & recruitment,,,,,
communicatieteam.nl,narrower,before,hak,Y,summary-tile,N,,,unknown,,,,,
communicatieteam.nl,narrower,before,brabantzorg,Y,summary-tile,N,,,,Personeel werven & werkgeversmerk,,,,
communicatieteam.nl,narrower,before,carsys,Y,summary-tile,N,,,unknown,,,,,
communicatieteam.nl,narrower,before,golfton,Y,summary-tile,N,,,PR & influencer marketing,,,,,
communicatieteam.nl,narrower,before,jumbo,Y,summary-tile,N,,,,Personeel werven & werkgeversmerk,,,,
addvision.nl,control,before,pooltrading,Y,quote-testimonial,N,,,Website & webdesign,,"E-mail, CRM & marketing automation",,,
addvision.nl,control,after,labapp,Y,full-case-page,N,,Manufacturing & industrial,Webshop & e-commerce,Webshop & online verkoop,SEO & organische vindbaarheid,Webshop B2B,,Nederlandse stad of plaats
addvision.nl,control,after,baden,Y,summary-tile,N,,,Website & webdesign,unknown,Multi-channel & omnichannel,Zakelijke afnemers (B2B),,
addvision.nl,control,after,cavallofloors,Y,summary-tile,N,,,Webshop & e-commerce,Maatwerk software & efficiëntere processen,,,,
addvision.nl,control,after,betonstaalnl,Y,summary-tile,N,,,Webshop & e-commerce,,,Webshop B2B,,
addvision.nl,control,after,zwaanmetaal,Y,summary-tile,N,,,"E-mailmarketing, automation & funnels",Beter vindbaar in Google,,,,
addvision.nl,control,after,lastechniekrijnmond,Y,summary-tile,Y,leads_inquiries,,Website & webdesign,,,,,
addvision.nl,control,after,lastechniekrijnmond,Y,full-case-page,Y,leads_inquiries,Retail & e-commerce (general consumer goods),Website & webdesign,Groei & nieuwe markten,Multi-channel & omnichannel,Zakelijke afnemers (B2B),,Nederlandse stad of plaats
addvision.nl,control,after,baden,Y,summary-tile,N,,,Website & webdesign,unknown,Multi-channel & omnichannel,Zakelijke afnemers (B2B),,
addvision.nl,control,after,cavallofloors,Y,summary-tile,N,,,Webshop & e-commerce,Maatwerk software & efficiëntere processen,,,,
addvision.nl,control,after,labapp,Y,summary-tile,N,,,Webshop & e-commerce,Webshop & online verkoop,,Webshop B2B,,
addvision.nl,control,after,betonstaalnl,Y,summary-tile,N,,,Webshop & e-commerce,,,Webshop B2B,,
addvision.nl,control,after,zwaanmetaal,Y,summary-tile,N,,,"E-mailmarketing, automation & funnels",Beter vindbaar in Google,,,,
cuttheweb.nl,control,before,bluebaycuraaogolfbeachresort,Y,summary-tile,N,,,"Outcome-verkoop (leads, omzet, groei)",,,,,
cuttheweb.nl,control,after,infopuntzorg,Y,quote-testimonial,N,,,,,,,,
cuttheweb.nl,control,after,amsterdamcricketacademy,Y,quote-testimonial,N,,,,,,,,
cuttheweb.nl,control,after,stichtingijproducties,Y,quote-testimonial,N,,,,,,,,
cuttheweb.nl,control,after,voustenmode,Y,quote-testimonial,N,,,Strategie & advies,,,,,
cuttheweb.nl,control,after,bodelcampus,Y,quote-testimonial,N,,,,,,,,
cuttheweb.nl,control,after,rdgkompagne,Y,quote-testimonial,N,,,,,,,,
cuttheweb.nl,control,after,sietskekoenemode,Y,quote-testimonial,N,,Retail & e-commerce (general consumer goods),,,SEO & organische vindbaarheid,,,
cuttheweb.nl,control,after,hetbroodthuis,Y,quote-testimonial,N,,,,,,,,
cuttheweb.nl,control,after,kikid,Y,quote-testimonial,N,,,unknown,,Website & CMS,,,
cuttheweb.nl,control,after,bijhoogies,Y,quote-testimonial,N,,,,,,,,
cuttheweb.nl,control,after,saakeshop,Y,quote-testimonial,N,,,,,,,,
cuttheweb.nl,control,after,bluebaycuraaogolfbeachresort,Y,logo-only,N,,,,,,,,
daburo.nl,control,before,,N,summary-tile,N,,,Apps & maatwerk platforms,,,,,
daburo.nl,control,before,,N,summary-tile,N,,,Branding & huisstijl,,,,,
daburo.nl,control,before,,N,summary-tile,N,,,Branding & huisstijl,,,,,
daburo.nl,control,before,keukenconcurrent,Y,summary-tile,N,,,UX/UI & interface design,,,,,
daburo.nl,control,before,tuestuderen,Y,summary-tile,N,,,UX/UI & interface design,,,,,
daburo.nl,control,before,brugmankeukens,Y,summary-tile,N,,,UX/UI & interface design,,,,,
daburo.nl,control,before,brightpremium,Y,summary-tile,N,,,Branding & huisstijl,,,,,
boodschapenbeeld.nl,control,after,loopbaancoachingdrechtsteden,Y,full-case-page,N,,"Staffing, recruitment & HR",Strategie & advies,"Merk, huisstijl & verhaal",Social media organisch,,Klein / zelfstandig,
boodschapenbeeld.nl,control,after,hetparkhuis,Y,logo-only,N,,,,,,,,
boodschapenbeeld.nl,control,after,zoomermakelaardij,Y,quote-testimonial,N,,Business & professional services,Branding & huisstijl,,,,,
boodschapenbeeld.nl,control,after,loopbaancoachingdrechtsteden,Y,logo-only,N,,,,,,,,
boodschapenbeeld.nl,control,after,denkslank,Y,logo-only,N,,,,,,,,
boodschapenbeeld.nl,control,after,boskalis,Y,logo-only,N,,,,,,,,
boodschapenbeeld.nl,control,after,vanspronsenmakelaars,Y,logo-only,N,,,,,,,,
boodschapenbeeld.nl,control,after,tandartspraktijkstellamaris,Y,logo-only,N,,,,,,,,
boodschapenbeeld.nl,control,after,bewonersverenigingmiddenhoeve,Y,logo-only,N,,,,,,,,
boodschapenbeeld.nl,control,after,snsbank,Y,logo-only,N,,,,,,,,
boodschapenbeeld.nl,control,after,degroenepollepel,Y,logo-only,N,,,,,,,,
boodschapenbeeld.nl,control,after,findigo20,Y,logo-only,N,,,,,,,,
boodschapenbeeld.nl,control,after,robfashionformen,Y,logo-only,N,,,,,,,,
boodschapenbeeld.nl,control,after,vanhalemhaarstudio,Y,logo-only,N,,,,,,,,
boodschapenbeeld.nl,control,after,zoomerwantijrun,Y,logo-only,N,,,,,,,,
boodschapenbeeld.nl,control,after,onns,Y,logo-only,N,,,,,,,,
boodschapenbeeld.nl,control,after,zoomernijptaxatieburo,Y,summary-tile,N,,,Branding & huisstijl,,,,,
boodschapenbeeld.nl,control,after,robfashionformen,Y,full-case-page,N,,"Fashion, beauty & personal goods",Branding & huisstijl,"Merk, huisstijl & verhaal",Social media organisch,,,Nederlandse stad of plaats
boodschapenbeeld.nl,control,after,snsspijkenisse,Y,full-case-page,Y,reach_views,Finance & insurance,Strategie & advies,Naamsbekendheid & zichtbaarheid,Social media organisch,,Startup / jong / groeiend,Nederlandse stad of plaats
conversiepartners.nl,narrower,after,dirkdewitmode,Y,summary-tile,N,,,Webshop & e-commerce,unknown,,Webshop consumenten (D2C),,
conversiepartners.nl,narrower,after,dirkdewitmode,Y,summary-tile,N,,,,unknown,,,,
conversiepartners.nl,narrower,after,glashandeldekroon,Y,summary-tile,Y,leads_inquiries,,,,,,,
conversiepartners.nl,narrower,after,triplesolar,Y,summary-tile,Y,leads_inquiries,,,,,,,
conversiepartners.nl,narrower,after,babyplus,Y,summary-tile,Y,other,,,,,Webshop consumenten (D2C),,
conversiepartners.nl,narrower,after,knippingnederland,Y,summary-tile,Y,other,,,,Multi-channel & omnichannel,,,
conversiepartners.nl,narrower,after,climerbenelux,Y,summary-tile,Y,leads_inquiries,,,,,,,
converzo.nl,narrower,before,4x4centernl,Y,full-case-page,N,,"Transport, logistics & automotive",Webshop & e-commerce,,Webshop & e-commerceplatform,Webshop consumenten (D2C),,Nederlandse stad of plaats
converzo.nl,narrower,before,blikhr,Y,full-case-page,N,,unknown,Branding & huisstijl,Groei & nieuwe markten,Website & CMS,,,
converzo.nl,narrower,before,dolcevillas,Y,full-case-page,N,,"Hospitality, tourism, sports & recreation",Website & webdesign,,Website & CMS,,,Specifiek buitenland
bengelmedia.nl,control,after,hsr,Y,summary-tile,N,,,Website & webdesign,,Website & CMS,,,
bengelmedia.nl,control,after,hekospanten,Y,summary-tile,N,,,Website & webdesign,,Website & CMS,,,
bengelmedia.nl,control,after,topvredeoord,Y,summary-tile,N,,,Website & webdesign,,Website & CMS,,,
bengelmedia.nl,control,after,vikingliften,Y,summary-tile,N,,,Website & webdesign,,Website & CMS,,,
bengelmedia.nl,control,after,aperol,Y,summary-tile,N,,,Branding & huisstijl,,"Content, video & PR",,,
bengelmedia.nl,control,after,bosch,Y,summary-tile,N,,,PR & influencer marketing,,"Content, video & PR",,,
bengelmedia.nl,control,after,apollohotelamsterdam,Y,summary-tile,N,,,unknown,,"Content, video & PR",,,
bengelmedia.nl,control,after,leonardo,Y,summary-tile,N,,,PR & influencer marketing,,"Content, video & PR",,,
bengelmedia.nl,control,after,shokz,Y,summary-tile,N,,,Campagnes & creatieve concepten,,"Content, video & PR",,,
bengelmedia.nl,control,after,bbo,Y,summary-tile,N,,,unknown,,"Content, video & PR",,,
bengelmedia.nl,control,after,vitakruid,Y,summary-tile,N,,,PR & influencer marketing,,"Content, video & PR",,,
bengelmedia.nl,control,after,kingcolis,Y,summary-tile,N,,,unknown,,"Content, video & PR",,,
bengelmedia.nl,control,after,grandsud,Y,summary-tile,N,,,Branding & huisstijl,,,,,
bengelmedia.nl,control,after,everycancounts,Y,summary-tile,N,,,Campagnes & creatieve concepten,,,,,
bengelmedia.nl,control,after,clancampbell,Y,summary-tile,N,,,Campagnes & creatieve concepten,,,,,
bengelmedia.nl,control,after,amrefflyingdoctors,Y,summary-tile,N,,,unknown,,,,,
bengelmedia.nl,control,after,,N,summary-tile,N,,,Strategie & advies,,,,,
bengelmedia.nl,control,after,woningruil24nl,Y,summary-tile,N,,,Strategie & advies,,"SEA, display & overige paid advertising",,,
bengelmedia.nl,control,after,greenbergtraurig,Y,summary-tile,N,,,Campagnes & creatieve concepten,,,,,
bengelmedia.nl,control,after,chdr,Y,summary-tile,N,,,Campagnes & creatieve concepten,,unknown,,,
bengelmedia.nl,control,after,benicaros,Y,summary-tile,N,,,Campagnes & creatieve concepten,,,,,
bengelmedia.nl,control,after,hijman,Y,summary-tile,N,,,Branding & huisstijl,,,,,
bengelmedia.nl,control,after,meenk,Y,summary-tile,N,,,Branding & huisstijl,,,,,
bengelmedia.nl,control,after,quorn,Y,summary-tile,N,,,Campagnes & creatieve concepten,,unknown,,,
bengelmedia.nl,control,after,,N,summary-tile,N,,,Branding & huisstijl,,"SEA, display & overige paid advertising",,,
bengelmedia.nl,control,after,riff,Y,summary-tile,N,,,Employer branding & recruitment,,"Branding, campagne & activatie",,,
bengelmedia.nl,control,after,libeert,Y,summary-tile,N,,,Campagnes & creatieve concepten,,"SEA, display & overige paid advertising",,,
bengelmedia.nl,control,after,amarodelcapo,Y,summary-tile,N,,,unknown,,unknown,,,
