domain,matched_domain,salesnav_row,salesnav_name,employees_now,growth_6m,growth_1y,growth_2y,open_roles,status,notes,cohort,n_distinct_clients,source
pionect.com_414,pionect.com,406,Pionect,16,-5%,0%,23%,2,found,"industry listed as IT Services/IT Consulting (digital/dev agency), not classic marketing agency",original340,10,2026-07-29-salesnav-employees-progress.csv
prsc.nl_415,prsc.nl,407,PRSC. Vastgoedcommunicatie,21,10%,10%,23%,0,found,,original340,7,2026-07-29-salesnav-employees-progress.csv
q42.nl_416,q42.nl,408,Q42,125,-1%,3%,14%,11,found,,original340,94,2026-07-29-salesnav-employees-progress.csv
rauwcc.nl_417,rauwcc.nl,409,RAUWcc,19,0%,+11%,-5%,0,found,,original340,25,2026-07-29-salesnav-employees-progress.csv
redkiwi.com_418,redkiwi.com,410,Redkiwi,55,+1%,-1%,+3%,0,found,,original340,22,2026-07-29-salesnav-employees-progress.csv
rotterdamcs.nl_419,rotterdamcs.nl,411,Rotterdam CS,6,+200%,N/A (overflow artifact),N/A (overflow artifact),0,found,1y and 2y growth hit INT_MAX 2147483647% divide-by-zero bug,original340,17,2026-07-29-salesnav-employees-progress.csv
rox.nl_420,rox.nl,412,ROX,4,0%,0%,0%,0,found,"matched via LinkedIn name ""ROX Branding | Fullservice branding & marketing agency"" (generic ROX name had many results, disambiguated by name/industry match)",original340,25,2026-07-29-salesnav-employees-progress.csv
somention.com_422,somention.com,414,Somention,55,+7%,+7%,+1%,5,found,,original340,29,2026-07-29-salesnav-employees-progress.csv
studio10am.nl_423,studio10am.nl,415,STUDIO 10am,2,+100%,+100%,+100%,0,found,"very small base (2 employees), 100% reflects doubling from 1",original340,9,2026-07-29-salesnav-employees-progress.csv
studionul.com_424,studionul.com,416,Studio Nul,,,,,,not_found,"name search returned unrelated companies (Studio Vogels, Blik van Boven, etc), domain search studionul.com returned 0 results",original340,4,2026-07-29-salesnav-employees-progress.csv
studiopiranha.com_425,studiopiranha.com,417,Studio Piranha,4,+33%,+33%,+100%,0,found,"Exact name match, Design Services, Studio Piranha | Merkdesign bureau",original340,5,2026-07-29-salesnav-employees-progress.csv
trichis.nl_428,trichis.nl,420,Trichis,17,+13%,-5%,0%,0,found,"Exact match Trichis Content & Creatie, Marketing Services",original340,36,2026-07-29-salesnav-employees-progress.csv
yescontent.nl_430,yescontent.nl,422,YesContent,5,0%,0%,0%,0,found,"Exact name match, Advertising Services, branding studio",original340,18,2026-07-29-salesnav-employees-progress.csv
